TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,LOCATION,Year,Team,Abbrev,Nickname
Charlotte Bobcats,2011-12,33,4,29,0.121,48.2,87.1,32.7,80.3,40.7,3.6,12.7,28.4,18.2,24.4,74.5,10.8,28.1,38.8,20.7,13.7,5.7,6.2,6,19.5,21.6,-12.4,Home,2011,Charlotte Bobcats,CHA,Bobcats
Houston Rockets,2013-14,41,33,8,0.805,48.5,109.2,38.1,79.7,47.8,9.8,27.2,35.9,23.3,32.9,70.8,11.4,35.1,46.6,21.5,16.3,7.8,5.9,5.4,19.7,25.3,9,Home,2013,Houston Rockets,HOU,Rockets
Phoenix Suns,2013-14,41,26,15,0.634,48.1,108.1,39.7,83.3,47.7,9.5,24.8,38.5,19.1,25.4,75.4,11.6,31.6,43.2,18.7,15.3,8.6,4.8,3.6,21.9,21.6,5.4,Home,2013,Phoenix Suns,PHO,Suns
Los Angeles Lakers,2013-14,41,14,27,0.341,48,104,38.9,84.8,45.9,9.4,25.2,37.5,16.7,22,76.1,8.3,32.7,41,25.9,15,7.5,5.7,3.9,19.7,19,-4.1,Home,2013,Los Angeles Lakers,LAL,Lakers
New York Knicks,2013-14,41,19,22,0.463,48.4,100,37.2,81.8,45.5,9.4,25,37.7,16.2,21.4,75.8,11,29.5,40.6,19.4,14.1,8.2,4.5,3.1,22.1,20,0.8,Home,2013,New York Knicks,NYK,NY Knicks
Golden State Warriors,2013-14,41,27,14,0.659,48.2,104.8,39.9,85.8,46.6,9.2,24.4,37.9,15.7,20,78.4,11.2,35.2,46.4,24.3,14.9,7.8,4.8,3.7,21.3,19.2,7.5,Home,2013,Golden State Warriors,GSW,Warriors
Portland Trail Blazers,2013-14,41,31,10,0.756,48.4,107.7,39.9,87,45.8,9.1,24.9,36.6,18.7,22.8,82.3,12.5,34.4,47,23.8,14.2,5.6,4.5,3.1,18,21.3,6.3,Home,2013,Portland Trail Blazers,POR,Trail Blazers
Toronto Raptors,2013-14,41,26,15,0.634,48.9,103.4,36.7,82.3,44.6,9.1,24.2,37.7,20.9,26.5,79,11.7,31.5,43.2,21.8,14.5,7.5,4,4,22.2,22.8,4.7,Home,2013,Toronto Raptors,TOR,Raptors
Atlanta Hawks,2013-14,41,24,17,0.585,48.4,100.9,36.9,81.3,45.4,9.1,25.3,36,18,22.9,78.5,8.6,32.1,40.7,25.5,14.8,8,3.9,4,18.6,20.5,1.8,Home,2013,Atlanta Hawks,ATL,Hawks
San Antonio Spurs,2013-14,41,32,9,0.78,48,106.3,41.1,82.5,49.8,9,21.6,42,15.1,19.5,77.8,8.6,34.5,43.1,26.9,14.3,6.9,5.6,4.1,17,19.1,8.9,Home,2013,San Antonio Spurs,SAS,Spurs
Brooklyn Nets,2013-14,41,28,13,0.683,48.2,100.6,36.4,76.3,47.7,9,23,39.1,18.8,25.1,75,8.3,29.7,37.9,21.6,14.6,8.7,3.7,3.6,22,21.4,3.2,Home,2013,Brooklyn Nets,BRK,Nets
Denver Nuggets,2013-14,41,22,19,0.537,48.1,106,39,87.6,44.6,8.8,24.2,36.4,19.1,26.3,72.5,12.5,34.4,46.9,23.5,15.4,7.3,6.4,5.7,23.2,22.2,0.9,Home,2013,Denver Nuggets,DEN,Nuggets
Dallas Mavericks,2013-14,41,26,15,0.634,48.6,107.4,39.8,83,48,8.8,22.8,38.4,19,23.8,80,10.3,31.3,41.6,23.3,13.3,8.8,4.2,3.3,20,21.3,3.8,Home,2013,Dallas Mavericks,DAL,Mavericks
Los Angeles Clippers,2013-14,41,34,7,0.829,48.1,110.8,40,82.6,48.5,8.2,23.7,34.7,22.5,30.7,73.2,10.7,33.5,44.2,25.9,14.3,9.2,5.3,3.2,21.3,24.2,10.8,Home,2013,Los Angeles Clippers,LAC,Clippers
Oklahoma City Thunder,2013-14,41,34,7,0.829,48.2,107.7,39.7,82.2,48.3,8,21,38.1,20.3,25.7,79.3,11.1,34.3,45.4,23.2,15.3,8.5,6.6,3.5,22,20.4,9.2,Home,2013,Oklahoma City Thunder,OKC,Thunder
Miami Heat,2013-14,41,32,9,0.78,48.4,104.5,39.4,76.8,51.3,7.9,21.5,36.9,17.8,23.5,75.6,8.2,29.1,37.3,21.9,14.6,8.9,4.4,2.9,18.5,20.4,7.1,Home,2013,Miami Heat,MIA,Heat
Boston Celtics,2013-14,41,16,25,0.39,48,96.5,36.8,83.2,44.2,7.2,21.7,33,15.8,20.3,77.8,11.9,31.3,43.2,22,15.2,6.4,4.1,4.2,20.5,18.9,-2.5,Home,2013,Boston Celtics,BOS,Celtics
Philadelphia 76ers,2013-14,41,10,31,0.244,48.6,100.3,38.1,86.4,44.2,7.2,22.4,32,16.9,24,70.1,11.8,31.1,42.9,23.3,17.3,9.1,4,6.1,21.6,20.6,-10,Home,2013,Philadelphia 76ers,PHI,76ers
Cleveland Cavaliers,2013-14,41,19,22,0.463,49.1,98.9,37.3,86,43.4,7.1,19.9,35.7,17.1,23,74.6,12.9,34.1,47,23.5,14.5,6.6,4.4,5.9,20,20.2,0.2,Home,2013,Cleveland Cavaliers,CLE,Cavaliers
Washington Wizards,2013-14,41,22,19,0.537,48.9,100.3,38.6,83.3,46.4,7.1,19.6,36,16,21.3,75.2,10.2,31.2,41.4,23.4,14.6,8.4,4.7,4.1,19.8,19.8,2,Home,2013,Washington Wizards,WAS,Wizards
Orlando Magic,2013-14,41,19,22,0.463,48.9,100.1,38.2,82.6,46.3,6.9,19.2,35.9,16.7,21.6,77.6,9.6,33.4,43,21.8,15.2,7.8,4.6,5.2,20,18.2,-1,Home,2013,Orlando Magic,ORL,Magic
Minnesota Timberwolves,2013-14,41,24,17,0.585,48.4,108,39.4,87.6,44.9,6.9,20.5,33.6,22.4,28.6,78.3,12.4,33,45.4,24.1,13.9,8.7,3.7,5.2,19.2,24.2,6.2,Home,2013,Minnesota Timberwolves,MIN,Timberwolves
Milwaukee Bucks,2013-14,41,10,31,0.244,48.4,94.4,35.6,81.9,43.5,6.6,18.8,35.1,16.5,22.1,74.8,12.3,29.5,41.8,21.5,15.1,6.2,4.6,4.4,20.7,20.2,-7.1,Home,2013,Milwaukee Bucks,MIL,Bucks
Utah Jazz,2013-14,41,16,25,0.39,48.2,96.8,36.6,80.3,45.5,6.5,18.8,34.5,17.2,22.6,76,10.3,31.3,41.7,19.2,13.9,6.4,4.3,4,20.3,20.2,-3.7,Home,2013,Utah Jazz,UTA,Jazz
Sacramento Kings,2013-14,41,17,24,0.415,48.5,102.1,37.2,81.9,45.5,6.3,18.8,33.6,21.4,27.8,76.9,11.8,33,44.8,19.1,15.5,6.9,3.9,5.2,23.1,23.5,-0.5,Home,2013,Sacramento Kings,SAC,Kings
Indiana Pacers,2013-14,41,35,6,0.854,48.1,98.5,36.8,79.9,46.1,6.2,18.1,34.3,18.7,23.7,78.9,10.6,35.6,46.2,21,15.1,6.6,6.3,5.5,19.8,22.2,10.5,Home,2013,Indiana Pacers,IND,Pacers
New Orleans Pelicans,2013-14,41,22,19,0.537,48.5,101.2,38.2,82.3,46.4,6,15.8,38.3,18.7,24.1,77.5,11.8,31.6,43.4,21.7,13.2,7.6,8,6.4,21.9,20.2,1.2,Home,2013,New Orleans Pelicans,NOP,Pelicans
Charlotte Bobcats,2013-14,41,25,16,0.61,48.5,96.5,36.1,81.8,44.1,6,17.5,34.2,18.3,24.6,74.4,9.8,33.2,43,22.3,12,5.5,5.9,5,18,21.7,2.2,Home,2013,Charlotte Bobcats,CHA,Bobcats
Chicago Bulls,2013-14,41,27,14,0.659,48.6,94.5,35.3,81.7,43.2,5.9,17.2,34.2,17.9,22.9,78.2,11.9,33.5,45.4,24,13.8,7.1,5.7,6.4,19.1,21.2,4.9,Home,2013,Chicago Bulls,CHI,Bulls
Detroit Pistons,2013-14,41,17,24,0.415,48.2,101.1,38.9,86,45.2,5.8,18.9,30.5,17.6,26.2,67.2,14,31.3,45.2,22.1,14.3,8,5.1,4.4,20.8,20.8,-2.5,Home,2013,Detroit Pistons,DET,Pistons
Memphis Grizzlies,2013-14,41,27,14,0.659,48.4,98.7,38.5,81.7,47.2,5.4,14.7,36.6,16.2,21.6,75.1,11.3,30.7,42,21.6,14,7.6,5.1,5,19.7,19.6,2.7,Home,2013,Memphis Grizzlies,MEM,Grizzlies
Houston Rockets,2014-15,41,30,11,0.732,48.1,103.6,36.6,82.9,44.1,11.7,33,35.4,18.6,26.2,71,11.5,32.3,43.8,22.3,16.8,10.1,5.5,5.3,21.2,21,5.6,Home,2014,Houston Rockets,HOU,Rockets
Golden State Warriors,2014-15,41,39,2,0.951,48.1,113.3,43,86.6,49.6,11.4,27.5,41.5,16,20.7,77.2,10,34.2,44.2,29.4,14.3,9.7,5.9,3.3,18.9,18.3,14.6,Home,2014,Golden State Warriors,GSW,Warriors
Cleveland Cavaliers,2014-15,41,31,10,0.756,48.1,103.4,38,81.2,46.8,10.3,26.5,38.9,17.1,22.9,74.6,11,32.5,43.5,24.2,14.3,7,4.4,4.4,17.5,20.5,7.4,Home,2014,Cleveland Cavaliers,CLE,Cavaliers
Atlanta Hawks,2014-15,41,35,6,0.854,48,103.5,38.5,80.9,47.6,10.2,26.7,38.2,16.4,20.9,78.5,8.8,32.2,41,27,14.2,9.1,4.3,4.6,17,19.6,8.5,Home,2014,Atlanta Hawks,ATL,Hawks
Portland Trail Blazers,2014-15,41,32,9,0.78,48.1,104.1,38.8,86.1,45.1,10.1,27.5,36.8,16.4,20.5,80,11.5,35.8,47.3,22.8,13.5,6.8,4.7,3.6,17.4,18.9,8.3,Home,2014,Portland Trail Blazers,POR,Trail Blazers
Los Angeles Clippers,2014-15,41,30,11,0.732,48.2,106,38.7,82.5,47,9.8,26.4,37.2,18.7,26.3,71.1,9.3,34.3,43.6,26.1,12.9,7.7,5.9,3,20.7,21.9,8,Home,2014,Los Angeles Clippers,LAC,Clippers
Detroit Pistons,2014-15,41,18,23,0.439,48.4,101.2,37.6,85.4,44,9.2,25.6,36.1,16.8,23.9,70.2,12.4,31.6,44,23.2,12.6,7.3,4.4,4.4,18.9,19.9,0.3,Home,2014,Detroit Pistons,DET,Pistons
San Antonio Spurs,2014-15,41,33,8,0.805,49.1,107.4,40.7,83.3,48.9,9.2,23.4,39.1,16.9,22.1,76.2,9.7,34.5,44.2,25.9,14.2,8.4,5.7,3.9,17.9,20.1,9.6,Home,2014,San Antonio Spurs,SAS,Spurs
Toronto Raptors,2014-15,41,27,14,0.659,48.2,102.7,37.4,81.3,46,9,25,36.1,18.9,24,78.8,10.1,32,42,21.6,13.5,7.2,4.4,4.5,19.9,20.1,4.3,Home,2014,Toronto Raptors,TOR,Raptors
Phoenix Suns,2014-15,41,22,19,0.537,48.4,102.7,38.7,84.4,45.9,8.9,25.1,35.3,16.3,21.7,75.3,10.7,32.3,43,19.9,15.6,8.6,4.8,3.6,21.2,20.5,1,Home,2014,Phoenix Suns,PHO,Suns
Dallas Mavericks,2014-15,41,27,14,0.659,48.2,106.6,39.8,84.3,47.2,8.6,24.9,34.6,18.4,24.4,75.2,10.5,31.8,42.2,21.8,13.4,8.3,4.7,3.7,19.9,23.4,4.2,Home,2014,Dallas Mavericks,DAL,Mavericks
Philadelphia 76ers,2014-15,41,12,29,0.293,48.4,95.2,34.8,83,41.9,8.5,26.4,32.1,17.2,24.6,70.2,11.9,31.6,43.5,22.8,17.6,9.8,6.2,4.7,22,20.2,-5,Home,2014,Philadelphia 76ers,PHI,76ers
Denver Nuggets,2014-15,41,19,22,0.463,48.5,104.2,38,87,43.7,8.4,24.9,33.9,19.7,26.5,74.5,12.8,33,45.8,22.3,14.4,7.5,4.3,5.8,23.1,22.3,0.3,Home,2014,Denver Nuggets,DEN,Nuggets
Boston Celtics,2014-15,41,21,20,0.512,48.2,101.4,39.1,88.5,44.2,8.2,24.6,33.3,15,19.7,76.3,11.1,33.3,44.4,24.8,13.1,7.7,3.7,5.4,21.4,18.5,1.6,Home,2014,Boston Celtics,BOS,Celtics
Oklahoma City Thunder,2014-15,41,29,12,0.707,48.5,106.9,39.8,87.5,45.5,7.9,22.8,34.5,19.4,24.7,78.4,13.5,35.1,48.6,21.2,14.8,7.8,5.9,4.3,22.3,20.7,7,Home,2014,Oklahoma City Thunder,OKC,Thunder
Chicago Bulls,2014-15,41,27,14,0.659,48.5,101.9,37.2,84.5,44,7.6,22,34.6,19.9,25.3,78.9,13,33.5,46.4,22.5,13.3,6.2,6.8,6.1,18,21.3,4.3,Home,2014,Chicago Bulls,CHI,Bulls
Utah Jazz,2014-15,41,21,20,0.512,48.1,96.3,36,80.1,45,7.6,22.4,33.7,16.6,23.4,71,12.6,32.1,44.7,18.8,14.4,7.4,6.3,4.5,19.8,19.9,2.9,Home,2014,Utah Jazz,UTA,Jazz
Indiana Pacers,2014-15,41,23,18,0.561,48.5,98.4,37.3,83.5,44.6,7.5,20.9,36.1,16.4,22.4,73,10.9,35,45.9,21.4,13.6,6.1,5.1,4.8,19.9,21.5,2.7,Home,2014,Indiana Pacers,IND,Pacers
New Orleans Pelicans,2014-15,41,28,13,0.683,48.4,101.7,38.9,83.2,46.7,7.1,18.8,37.8,16.8,22.5,74.7,11.9,32.7,44.5,23.4,13.3,7,7.8,5.5,17.8,19.3,4.1,Home,2014,New Orleans Pelicans,NOP,Pelicans
Miami Heat,2014-15,41,20,21,0.488,48.1,96.8,35.6,76.8,46.4,6.9,19.6,35,18.8,25,75.1,9.1,30.5,39.6,19,14.9,7.9,4.4,4,20.4,21.6,-1,Home,2014,Miami Heat,MIA,Heat
Milwaukee Bucks,2014-15,41,23,18,0.561,48.1,97.8,37.5,81.1,46.3,6.8,17.9,37.8,16,20.7,77.3,11.4,31.5,42.9,24.5,17,9.4,5.1,4.4,21.3,19.4,1.6,Home,2014,Milwaukee Bucks,MIL,Bucks
Brooklyn Nets,2014-15,41,19,22,0.463,49.2,99,37.6,83.9,44.9,6.8,20.3,33.3,17,23,74,10.4,32.5,42.9,21.2,13.2,7,3.5,3.9,19.1,20.9,-2.3,Home,2014,Brooklyn Nets,BRK,Nets
Orlando Magic,2014-15,41,13,28,0.317,48.4,97.1,37.8,83.2,45.4,6.7,19.5,34.6,14.7,19.8,74.3,10.4,32.2,42.7,21.1,15.1,7.8,3.7,4.9,20.9,18.2,-5.2,Home,2014,Orlando Magic,ORL,Magic
New York Knicks,2014-15,41,10,31,0.244,48.4,91.5,35.3,82.5,42.8,6.6,20.3,32.7,14.1,18.5,76.6,10.9,29.7,40.6,19.9,15.1,7.5,4.1,3.5,21.1,18.9,-8.1,Home,2014,New York Knicks,NYK,NY Knicks
Washington Wizards,2014-15,41,29,12,0.707,48.9,102.3,39.3,83.3,47.2,6.5,16.9,38.4,17.2,22.7,75.6,10.6,35.1,45.8,25.1,15.4,8.4,5.3,4.4,21,20.6,6,Home,2014,Washington Wizards,WAS,Wizards
Charlotte Hornets,2014-15,41,19,22,0.463,48.6,95,35.8,85.4,41.9,6.2,19.6,31.9,17.2,23.4,73.5,10.1,34.5,44.6,21,11.3,5.4,6.5,5.6,18.6,21.5,-1.6,Home,2014,Charlotte Hornets,CHO,Hornets
Los Angeles Lakers,2014-15,41,12,29,0.293,48.6,98.6,37.3,84.9,43.9,6,18.8,31.9,17.9,24.9,72,11.2,33.1,44.3,21.6,13,6.5,4.7,4.8,21.7,20.4,-5.2,Home,2014,Los Angeles Lakers,LAL,Lakers
Sacramento Kings,2014-15,41,18,23,0.439,48.5,101.4,37.3,81.3,45.9,5.3,16.2,32.8,21.5,28.2,76.1,10.8,33.5,44.3,20.3,16,6.5,3.8,5.8,20.7,24,-1,Home,2014,Sacramento Kings,SAC,Kings
Memphis Grizzlies,2014-15,41,31,10,0.756,48.6,99.5,38.1,83.4,45.7,5.2,15.1,34.5,18,22.7,79.1,10.9,33.3,44.2,21,12.9,7.9,4.7,5.1,18.6,20.7,6.3,Home,2014,Memphis Grizzlies,MEM,Grizzlies
Minnesota Timberwolves,2014-15,41,9,32,0.22,48.2,97,36.3,83.2,43.7,4.7,14.6,32.3,19.7,25.4,77.4,11.7,29.5,41.2,21.4,14.3,8.2,4.2,5.4,18.7,21.4,-7.1,Home,2014,Minnesota Timberwolves,MIN,Timberwolves
Houston Rockets,2016-17,41,30,11,0.732,48.1,117.2,40.7,88,46.3,14.8,41.5,35.6,21,27.8,75.5,11.3,33.9,45.2,26.2,14.1,8.4,4.4,5,18.9,20.8,8.9,Home,2016,Houston Rockets,HOU,Rockets
Cleveland Cavaliers,2016-17,41,31,10,0.756,48.5,112.7,41.1,85.4,48.2,13.1,33.7,38.9,17.4,23.8,73.1,9.7,35.4,45,24.6,13,6.9,4.5,3.8,17.2,21,8.2,Home,2016,Cleveland Cavaliers,CLE,Cavaliers
Golden State Warriors,2016-17,41,36,5,0.878,48.4,118.8,44.7,87.4,51.1,12.8,31,41.2,16.8,21.7,77.2,9.5,36.4,45.9,32,14.7,9.1,7.7,3.4,18.2,19.2,16,Home,2016,Golden State Warriors,GSW,Warriors
Boston Celtics,2016-17,41,30,11,0.732,48.1,109.5,39.1,85.7,45.6,12.6,33.5,37.7,18.7,23.1,81.2,9.8,33.4,43.2,26.8,14,7.6,4.6,5.5,19.5,20.3,4.1,Home,2016,Boston Celtics,BOS,Celtics
Portland Trail Blazers,2016-17,41,25,16,0.61,48.7,109.9,40.6,86.7,46.9,11.1,28.6,38.7,17.6,23.1,76,10.2,33.7,43.9,22.1,13.5,7,4.8,5.1,20.2,19.9,3,Home,2016,Portland Trail Blazers,POR,Trail Blazers
Denver Nuggets,2016-17,41,22,19,0.537,48.4,113.9,42.1,87.4,48.2,11,28.5,38.5,18.7,24.4,76.4,11.2,34.7,45.9,27.9,14.6,7,3.8,4.2,18.8,20.2,3.2,Home,2016,Denver Nuggets,DEN,Nuggets
Brooklyn Nets,2016-17,41,13,28,0.317,48.4,104.4,37.4,85.8,43.6,10.6,31.9,33.2,19,24.1,78.6,9.6,35.5,45,21.1,16.8,7.1,4.9,5.4,20.9,20.7,-5.5,Home,2016,Brooklyn Nets,BRK,Nets
Dallas Mavericks,2016-17,41,21,20,0.512,48.4,99.4,36.3,81.9,44.3,10.5,29.3,35.9,16.3,19.8,82.2,8.1,32.4,40.5,20.8,12.1,7.6,3.8,3.3,18.3,20.1,1.5,Home,2016,Dallas Mavericks,DAL,Mavericks
Miami Heat,2016-17,41,23,18,0.561,48.5,106.5,40,85.1,47,10.5,27.6,38.1,15.9,23,69.1,9.9,33.8,43.6,21.1,13.8,7,5.7,4.1,20.5,19.3,4,Home,2016,Miami Heat,MIA,Heat
Philadelphia 76ers,2016-17,41,17,24,0.415,48.4,102.4,37.3,84.4,44.2,10.4,30.2,34.5,17.4,22.4,77.8,9.6,33.7,43.3,24.8,16.5,7.9,5.5,4.9,21.6,20.4,-3.6,Home,2016,Philadelphia 76ers,PHI,76ers
Utah Jazz,2016-17,41,29,12,0.707,48,101.1,36.6,78.1,46.8,10.2,26.4,38.6,17.7,23.8,74.3,8.9,34.3,43.2,19.8,13.5,6.8,4.8,3.6,18.4,20.9,6.3,Home,2016,Utah Jazz,UTA,Jazz
Charlotte Hornets,2016-17,41,22,19,0.537,48.2,106.6,38.1,85,44.9,10,28.5,35,20.3,25.5,79.6,9,35,43.9,24.1,10.6,6.8,5.3,5.5,15.8,20.5,3.2,Home,2016,Charlotte Hornets,CHO,Hornets
Los Angeles Clippers,2016-17,41,29,12,0.707,48.1,109.6,39.9,82.4,48.4,9.9,26.9,36.9,19.9,26.5,75.2,8.9,34.5,43.4,23.4,13,8.2,4.5,2.7,19.6,22.8,8.9,Home,2016,Los Angeles Clippers,LAC,Clippers
Washington Wizards,2016-17,41,30,11,0.732,48.2,110.4,41.5,86,48.2,9.8,24.2,40.6,17.7,22,80.1,10.5,32.2,42.7,24.8,14.7,8.6,4.3,4.2,21.1,20.4,4.9,Home,2016,Washington Wizards,WAS,Wizards
New Orleans Pelicans,2016-17,41,21,20,0.512,48.6,107.6,40,88,45.5,9.8,28.2,34.8,17.7,23.1,76.8,8.7,36.5,45.2,23.7,12.2,8,6,4.4,18.2,19.6,0.6,Home,2016,New Orleans Pelicans,NOP,Pelicans
San Antonio Spurs,2016-17,41,31,10,0.756,48.2,105.6,39.3,83.1,47.3,9.5,23.7,40.3,17.5,22.1,78.9,9.3,34.3,43.6,25.5,13.5,8.1,6,4.2,17.7,19.8,8.2,Home,2016,San Antonio Spurs,SAS,Spurs
Sacramento Kings,2016-17,41,17,24,0.415,48.4,105,38.2,81.3,47,9.5,24.5,38.7,19.1,24,79.8,8,32.4,40.4,22.6,14.9,7.7,3.7,4.7,20.1,20.1,-1.9,Home,2016,Sacramento Kings,SAC,Kings
Los Angeles Lakers,2016-17,41,17,24,0.415,48.1,107.6,40.5,87.2,46.4,9.3,25.6,36.4,17.3,23,75.3,11.5,32.5,44,22,14.5,8.2,3.7,5.3,19.9,18.5,-1.6,Home,2016,Los Angeles Lakers,LAL,Lakers
Toronto Raptors,2016-17,41,28,13,0.683,48.2,110.9,40.2,84.7,47.5,9.2,23.6,39.1,21.2,26.4,80.5,11.4,33,44.3,19.2,13,8,5.5,4.3,20.7,21,7.7,Home,2016,Toronto Raptors,TOR,Raptors
Memphis Grizzlies,2016-17,40,23,17,0.575,48.4,99.5,35.7,83.2,42.9,9,25.5,35.4,19.1,24.2,79,11.4,32.4,43.8,21.4,13.5,7.9,5.1,5.5,22.3,21.4,2.1,Home,2016,Memphis Grizzlies,MEM,Grizzlies
Atlanta Hawks,2016-17,41,23,18,0.561,48.9,105.9,39,85.4,45.7,8.9,25.9,34.2,19,26.2,72.6,11,33.2,44.2,24.7,15.6,8.5,4.8,5.6,18.5,22.5,0.1,Home,2016,Atlanta Hawks,ATL,Hawks
Indiana Pacers,2016-17,41,29,12,0.707,48.4,106.9,40.3,85.2,47.3,8.8,23,38.1,17.5,21.6,81,8.7,33.8,42.4,21.7,12.8,8,5.8,5.5,18.8,19.6,5.2,Home,2016,Indiana Pacers,IND,Pacers
New York Knicks,2016-17,41,19,22,0.463,48.1,104.9,40.2,87.1,46.2,8.8,24.6,35.7,15.7,20.1,77.8,11.8,33,44.8,21.6,14,7.2,5.5,4.2,19.6,18.3,-1.6,Home,2016,New York Knicks,NYK,NY Knicks
Milwaukee Bucks,2016-17,41,23,18,0.561,48.4,106,39.3,82.1,47.9,8.7,23.2,37.4,18.7,23.9,78.4,8.5,31.2,39.7,24.4,13.8,8.7,5,4.5,20.3,20.6,2.5,Home,2016,Milwaukee Bucks,MIL,Bucks
Oklahoma City Thunder,2016-17,41,28,13,0.683,48.4,109.5,40.9,87.2,46.9,8.7,25.4,34.1,19.1,25.8,74,11.6,35.2,46.8,21.7,15.1,8,4.9,4.5,20,20.9,6,Home,2016,Oklahoma City Thunder,OKC,Thunder
Orlando Magic,2016-17,41,16,25,0.39,48.2,100.2,37.6,86.5,43.5,8.4,25.4,32.9,16.6,22.4,74.3,10.4,33.9,44.3,21.6,12.8,6.9,5.2,4.7,19.1,19,-3.6,Home,2016,Orlando Magic,ORL,Magic
Detroit Pistons,2016-17,41,24,17,0.585,48.2,103,40.5,89.1,45.4,8.1,23.1,35.1,13.9,19.7,70.5,11.1,36.1,47.2,22.9,12,7.3,3.7,4.3,17.9,18,4,Home,2016,Detroit Pistons,DET,Pistons
Minnesota Timberwolves,2016-17,41,20,21,0.488,48.2,106.6,39.4,83.2,47.4,7.9,21.5,36.6,19.8,25,79.3,11.2,31.6,42.8,24.5,14.4,8.1,4.4,4.1,20.5,21.5,2.9,Home,2016,Minnesota Timberwolves,MIN,Timberwolves
Phoenix Suns,2016-17,41,15,26,0.366,48.4,109.7,40.5,88.7,45.6,7.8,23.1,33.8,20.9,26.4,79,12.4,34.3,46.7,20,15.5,7.8,5.5,5.1,24.4,22.7,-2.2,Home,2016,Phoenix Suns,PHO,Suns
Chicago Bulls,2016-17,41,25,16,0.61,48.2,103.7,38.6,88,43.9,7.4,21.4,34.8,19.1,23.6,80.9,13,34.1,47,23.7,12.9,8.3,5,4.6,17.4,19.2,3,Home,2016,Chicago Bulls,CHI,Bulls
Houston Rockets,2018-19,41,31,10,0.756,48.2,116.8,39.5,87.5,45.1,16.8,46.4,36.2,21,26.5,79.1,10.2,32.5,42.7,21.6,13.3,8.6,4.9,4.3,21.5,21,7.1,Home,2018,Houston Rockets,HOU,Rockets
Milwaukee Bucks,2018-19,41,33,8,0.805,48,119.9,44,90.9,48.4,14,38.8,36,17.9,23.2,77.4,9.1,41,50.1,26,14,7.6,5.8,4.3,19.1,20.6,12.1,Home,2018,Milwaukee Bucks,MIL,Bucks
Atlanta Hawks,2018-19,41,17,24,0.415,48.7,115.8,42.2,92.9,45.4,13.2,37.8,34.9,18.2,23.9,76.5,11.3,36,47.3,26.8,16.1,7.2,5.7,5.3,24.1,22.2,-4,Home,2018,Atlanta Hawks,ATL,Hawks
Golden State Warriors,2018-19,41,30,11,0.732,48.2,118.1,44.2,89.9,49.2,13.2,34.9,37.8,16.5,20.6,79.9,9.8,36.3,46.1,30.7,14.6,7.8,6.9,3.5,21.6,19.6,6.6,Home,2018,Golden State Warriors,GSW,Warriors
Utah Jazz,2018-19,41,29,12,0.707,48,112.6,40.4,86.6,46.6,12.9,35.4,36.3,19,25.8,73.6,10.5,37.5,48,26.5,14.9,7.8,6,4.4,20.9,22.8,7.9,Home,2018,Utah Jazz,UTA,Jazz
Brooklyn Nets,2018-19,41,23,18,0.561,48.7,113.8,41.1,90,45.6,12.8,36,35.5,18.9,25.2,75,11.1,36.7,47.8,24.1,15.3,6.5,3.9,5.4,22,22.1,2.5,Home,2018,Brooklyn Nets,BRK,Nets
Boston Celtics,2018-19,41,28,13,0.683,48.2,114.1,43,90.9,47.2,12.7,34.7,36.4,15.5,19.3,80.5,10.3,35.8,46.1,27.4,13.5,8.9,5.4,4.1,19.9,19.4,6.8,Home,2018,Boston Celtics,BOS,Celtics
Dallas Mavericks,2018-19,41,24,17,0.585,48.1,110.3,38.9,86,45.2,12.5,36.5,34.2,20,27,74.2,10.9,34.9,45.8,23.7,14.5,6.9,4.5,4.1,19.9,24,2.3,Home,2018,Dallas Mavericks,DAL,Mavericks
Toronto Raptors,2018-19,41,32,9,0.78,48.2,115.1,42.8,89.5,47.8,12.2,33.1,36.7,17.3,21.7,80,9.5,35.2,44.8,25.8,13.7,8.7,5.9,4.7,20.6,20.5,7.6,Home,2018,Toronto Raptors,TOR,Raptors
Charlotte Hornets,2018-19,41,25,16,0.61,48.4,113.1,40.9,89,46,12,33.1,36.1,19.3,24,80.6,9.6,35.1,44.7,23.8,12.4,7,5.3,5.9,19.5,21,3.7,Home,2018,Charlotte Hornets,CHO,Hornets
Portland Trail Blazers,2018-19,41,32,9,0.78,48.6,118.2,43.5,90.9,47.9,11.9,32.3,36.9,19.2,23.9,80.5,12,37,49,23.8,13.4,6.6,5,5,19.8,20.9,8.4,Home,2018,Portland Trail Blazers,POR,Trail Blazers
Detroit Pistons,2018-19,41,26,15,0.634,48.6,108.7,39.7,88.5,44.9,11.6,33.4,34.7,17.7,23.9,74,12,34.3,46.2,23.4,13.9,6.6,4.1,5.6,21.4,22,2.6,Home,2018,Detroit Pistons,DET,Pistons
Oklahoma City Thunder,2018-19,41,27,14,0.659,48.5,114.5,42.4,93.8,45.2,11.6,32.4,35.7,18.1,25.4,71.1,12.3,35.1,47.4,24.1,13.9,9.4,5.1,5.1,21.8,22.7,4.9,Home,2018,Oklahoma City Thunder,OKC,Thunder
